
-----------------------------------------------------------
benchmark results:
Execution time (sec)
name	v1	v2
vm_thread_create_join	0.984	1.095
vm_thread_mutex1	0.416	0.432
vm_thread_mutex2	0.425	0.429
vm_thread_mutex3	0.633	0.675
vm_thread_pass	0.488	0.272
vm_thread_pass_flood	0.118	0.126
vm_thread_pipe	0.521	0.568
vm_thread_queue	0.131	0.136
vm_thread_sized_queue	0.214	0.233
vm_thread_sized_queue2	0.589	0.585
vm_thread_sized_queue3	0.593	0.595
vm_thread_sized_queue4	0.280	0.298

Speedup ratio: compare with the result of `v1' (greater is better)
name	v2
app_answer	0.946
app_aobench	1.046
app_erb	0.942
app_factorial	0.985
app_fib	0.917
app_lc_fizzbuzz	0.973
app_mandelbrot	0.980
app_pentomino	1.005
app_raise	0.954
app_strconcat	1.033
app_tak	0.993
app_tarai	1.007
app_uri	0.957
array_sample_100k_10	0.901
array_sample_100k_11	0.873
array_sample_100k__100	0.805
array_sample_100k__1k	0.739
array_sample_100k__6k	0.998
array_sample_100k___10k	1.010
array_sample_100k___50k	1.005
array_shift	0.993
array_small_and	0.929
array_small_diff	0.916
array_small_or	0.826
array_sort_block	0.996
array_sort_float	1.006
array_values_at_int	0.923
array_values_at_range	0.968
bighash	0.465
dir_empty_p	0.988
erb_render	0.981
file_chmod	0.969
file_rename	1.000
hash_aref_dsym	0.931
hash_aref_dsym_long	0.923
hash_aref_fix	0.907
hash_aref_flo	0.839
hash_aref_miss	0.874
hash_aref_str	0.804
hash_aref_sym	0.920
hash_aref_sym_long	0.945
hash_flatten	0.887
hash_ident_flo	0.835
hash_ident_num	0.892
hash_ident_obj	0.890
hash_ident_str	0.949
hash_ident_sym	0.892
hash_keys	0.701
hash_long	0.737
hash_shift	0.460
hash_shift_u16	0.013
hash_shift_u24	0.013
hash_shift_u32	0.013
hash_small2	0.685
hash_small4	0.607
hash_small8	0.421
hash_to_proc	0.895
hash_values	0.652
int_quo	0.988
io_copy_stream_write	0.967
io_copy_stream_write_socket	0.905
io_file_create	0.928
io_file_read	0.978
io_file_write	0.980
io_nonblock_noex	0.638
io_nonblock_noex2	0.983
io_pipe_rw	1.006
io_select	0.994
io_select2	0.970
io_select3	0.944
loop_for	1.004
loop_generator	0.999
loop_times	0.971
loop_whileloop	1.000
loop_whileloop2	0.960
marshal_dump_flo	0.634
marshal_dump_load_geniv	0.468
marshal_dump_load_time	0.599
require	0.843
require_thread	1.726
securerandom	0.956
so_ackermann	1.018
so_array	0.995
so_binary_trees	0.987
so_concatenate	1.064
so_count_words	0.840
so_exception	0.972
so_fannkuch	0.951
so_fasta	0.985
so_k_nucleotide	0.823
so_lists	0.952
so_mandelbrot	1.041
so_matrix	0.992
so_meteor_contest	0.918
so_nbody	1.052
so_nested_loop	1.031
so_nsieve	0.922
so_nsieve_bits	1.024
so_object	0.952
so_partial_sums	1.010
so_pidigits	0.987
so_random	0.979
so_reverse_complement	0.982
so_sieve	1.032
so_spectralnorm	1.086
string_index	0.927
string_scan_re	1.002
string_scan_str	0.961
time_subsec	1.029
vm1_attr_ivar*	0.998
vm1_attr_ivar_set*	1.154
vm1_block*	1.040
vm1_blockparam*	0.989
vm1_blockparam_call*	0.878
vm1_blockparam_pass*	1.081
vm1_blockparam_yield*	0.993
vm1_const*	0.878
vm1_ensure*	1.700
vm1_float_simple*	0.997
vm1_gc_short_lived*	0.997
vm1_gc_short_with_complex_long*	0.746
vm1_gc_short_with_long*	1.026
